0.3_stalin_desc,650_stalin_desc,783_stalin_desc,455_stalin_desc,324_stalin_desc,414_stalin_desc,615_stalin_desc,253_stalin_desc,289_stalin_desc,222_stalin_desc,383_stalin_desc,512_stalin_desc,177_stalin_desc,72_stalin_desc,185_stalin_desc,81_stalin_desc,429_stalin_desc,746_stalin_desc,490_stalin_desc,410_stalin_desc,155_stalin_desc,174_stalin_desc
,537.0,696,,198.0,,,,,,,393.0,,,,,259.0,,348.0,,,
,536.0,696,,198.0,,,,,,,393.0,,,,,259.0,,348.0,,,
,536.0,695,,198.0,,,,,,,393.0,,,,,259.0,,347.0,,,
,536.0,695,,198.0,,,,,,,392.0,,,,,259.0,,346.0,,,
,536.0,694,,197.0,,,,,,,391.0,,,,,259.0,,346.0,,,
,536.0,694,,197.0,,,,,,,391.0,,,,,259.0,,346.0,,,
,536.0,693,,197.0,,,,,,,391.0,,,,,259.0,,346.0,,,
,536.0,693,,197.0,,,,,,,390.0,,,,,259.0,,346.0,,,
,536.0,692,,197.0,,,,,,,390.0,,,,,259.0,,346.0,,,
,536.0,691,,196.0,,,,,,,390.0,,,,,258.0,,346.0,,,
,535.0,690,,196.0,,,,,,,389.0,,,,,256.0,,346.0,,,
,534.0,690,,195.0,,,,,,,389.0,,,,,256.0,,345.0,,,
,534.0,690,,195.0,,,,,,,388.0,,,,,256.0,,344.0,,,
,534.0,690,,195.0,,,,,,,387.0,,,,,256.0,,343.0,,,
,534.0,689,,195.0,,,,,,,387.0,,,,,256.0,,342.0,,,
,534.0,689,,195.0,,,,,,,384.0,,,,,256.0,,342.0,,,
,534.0,689,,194.0,,,,,,,384.0,,,,,256.0,,342.0,,,
,534.0,689,,192.0,,,,,,,384.0,,,,,256.0,,341.0,,,
,532.0,689,,192.0,,,,,,,384.0,,,,,256.0,,340.0,,,
,532.0,689,,191.0,,,,,,,384.0,,,,,256.0,,339.0,,,
,531.0,688,,190.0,,,,,,,384.0,,,,,256.0,,339.0,,,
,531.0,688,,190.0,,,,,,,383.0,,,,,256.0,,339.0,,,
,530.0,688,,190.0,,,,,,,381.0,,,,,256.0,,338.0,,,
,530.0,688,,190.0,,,,,,,381.0,,,,,255.0,,338.0,,,
,530.0,688,,189.0,,,,,,,381.0,,,,,255.0,,338.0,,,
,530.0,688,,189.0,,,,,,,378.0,,,,,255.0,,337.0,,,
,530.0,688,,189.0,,,,,,,377.0,,,,,255.0,,336.0,,,
,530.0,687,,186.0,,,,,,,377.0,,,,,255.0,,335.0,,,
